号码,省份,手机品牌,通信品牌,手机操作系统,月消费（元）,月流量（MB）
166876623288,天津,HTC,神州行,Android,271.7,241.9
166580981302,台湾,HTC,神州行,Android,192.1,797.9
166509346370,重庆,HTC,神州行,Android,175.1,589.7
166816970732,湖北,HTC,神州行,Android,69.3,740.8
166712206289,香港,HTC,神州行,Android,231.5,466.8
166412875199,吉林,HTC,神州行,Android,206,1204.7
166412874690,黑龙江,HTC,神州行,Android,184.8,381.1
166818507285,贵州,HTC,神州行,Android,175.8,517.3
166538546722,香港,HTC,神州行,Android,130.5,1661.1
166713167081,重庆,HTC,神州行,Android,172.9,1878.1
166544996528,宁夏,HTC,神州行,Android,195.7,564.1
166790430310,内蒙古,HTC,神州行,Android,10.4,563.1
166412231672,宁夏,HTC,神州行,Android,56.2,852.3
166544848827,山西,HTC,神州行,Android,197.7,877.4
166751539827,台湾,HTC,神州行,Android,24.5,236.2
166437567814,江苏,HTC,神州行,Android,103.5,1819.8
166689060990,北京,HTC,神州行,Android,124.7,99
166528757156,安徽,HTC,神州行,Android,201,537.1
166662944938,山东,HTC,神州行,Android,135.7,706.6
166818370534,辽宁,HTC,神州行,Android,255.9,1868.7
166413036616,江苏,HTC,神州行,Android,152.2,1789.4
166814281763,浙江,HTC,神州行,Android,88,1895.8
166751517057,四川,HTC,神州行,Android,164.3,1125.9
166423282441,辽宁,HTC,神州行,Android,8,1028.6
166538703414,宁夏,HTC,神州行,Android,71.2,228.7
166728356779,吉林,HTC,神州行,Android,279.8,248.4
166007790126,内蒙古,HTC,神州行,Android,256.4,1055.3
166556855314,内蒙古,HTC,神州行,Android,187.9,267.6
166713522552,澳门,HTC,神州行,Android,140.6,279.8
166725913583,贵州,HTC,神州行,Android,78.1,584.2
166602496511,天津,HTC,神州行,Android,227.8,1909.6
166829261170,海南,HTC,神州行,Android,178.4,1878.5
166539171567,上海,HTC,神州行,Android,203.4,225.9
166712155093,浙江,HTC,神州行,Android,233.1,1442.3
166812956891,河南,HTC,神州行,Android,293.8,1663.6
166795045793,青海,HTC,神州行,Android,175.7,1435
166686255915,贵州,HTC,神州行,Android,46,500.8
166795135360,贵州,HTC,神州行,Android,0,1715.8
166726551813,香港,HTC,神州行,Android,251.8,1982.5
166798946696,湖南,HTC,神州行,Android,153.9,1911.9
166423522915,内蒙古,HTC,神州行,Android,90.5,1018.7
166712972390,海南,HTC,神州行,Android,204.5,569.7
166795081240,浙江,HTC,神州行,Android,232.3,380.2
166537278863,西藏,HTC,神州行,Android,67.9,1225.3
166712637944,河南,HTC,神州行,Android,165.4,900.9
166017292927,台湾,HTC,神州行,Android,23.7,1598.7
166581049773,贵州,HTC,神州行,Android,43.9,773.3
166751581799,福建,HTC,神州行,Android,143.5,465.2
166818525297,贵州,HTC,神州行,Android,165.8,1740.5
166817807600,安徽,HTC,神州行,Android,162.3,1751.7
166730067215,山东,HTC,神州行,Android,57,1543.3
166763264716,台湾,HTC,神州行,Android,37.3,1673.5
166817666629,吉林,HTC,神州行,Android,128.7,1193.9
166544900313,山东,HTC,神州行,Android,13.3,1097.6
166717308745,黑龙江,HTC,神州行,Android,199.3,1142.1
166818567873,河北,HTC,神州行,Android,2.5,798.1
166650320054,天津,HTC,神州行,Android,116.5,944.7
166015300052,吉林,HTC,神州行,Android,188.9,915.7
166528810913,湖北,HTC,神州行,Android,56.4,232
166663023497,上海,HTC,神州行,Android,1.3,1241.9
166007809040,河南,HTC,神州行,Android,41.7,1608.6
166652697700,重庆,HTC,神州行,Android,119.3,1679.8
166549611536,云南,HTC,神州行,Android,25.2,639.9
166816971292,澳门,HTC,神州行,Android,29.5,417.9
166798860294,香港,HTC,神州行,Android,91,442.6
166612937192,黑龙江,HTC,神州行,Android,209.6,1531.6
166024186924,辽宁,HTC,神州行,Android,4.7,1874.6
166662894035,广西,HTC,神州行,Android,70.5,450.1
166816970583,宁夏,HTC,神州行,Android,201.5,964.7
166712726909,甘肃,HTC,神州行,Android,42.9,840.2
166533105317,江西,HTC,神州行,Android,158.1,66.1
166751606404,上海,HTC,神州行,Android,67,1684.8
166560939373,台湾,HTC,神州行,Android,3.6,1355.5
166712149207,青海,HTC,神州行,Android,26.4,1264
166814378206,台湾,HTC,神州行,Android,256.6,1747
166818535306,上海,HTC,神州行,Android,186.2,787.8
166007789293,北京,HTC,神州行,Android,129.1,1579
166717289980,陕西,HTC,神州行,Android,67.2,1088.4
166827435323,上海,HTC,神州行,Android,98.2,549.5
166818371899,黑龙江,HTC,神州行,Android,41.4,1022.2
166015447508,天津,HTC,神州行,Android,2.5,1827.8
166992842804,浙江,HTC,神州行,Android,276.4,1130.1
166817755480,西藏,HTC,神州行,Android,233.2,1379.7
166816970019,福建,HTC,神州行,Android,66,1567.5
166798856643,山西,HTC,神州行,Android,260,893.8
166818373025,贵州,HTC,神州行,Android,63.3,1579.9
166818618425,上海,HTC,神州行,Android,217.5,254.4
166818389092,安徽,HTC,神州行,Android,0.7,1556.2
166424927361,上海,HTC,神州行,Android,143,668.6
166818360519,广东,HTC,神州行,Android,156,1424.9
166917107762,陕西,HTC,神州行,Android,87.2,108
166816973731,天津,HTC,神州行,Android,64.9,1393.7
166592861581,海南,HTC,神州行,Android,147.3,1947.1
166795000280,西藏,HTC,神州行,Android,145.5,914.7
166425000086,广东,HTC,神州行,Android,132.3,108.5
166418538264,北京,HTC,神州行,Android,244.3,315.8
166417138143,天津,HTC,神州行,Android,204.2,152.3
166099923929,内蒙古,HTC,神州行,Android,282.3,1038.8
166689054272,河北,HTC,神州行,Android,160,1696.2
166412361108,重庆,HTC,神州行,Android,293.7,630.2
166016989287,陕西,HTC,神州行,Android,183.4,1689.1
166818369618,山东,HTC,神州行,Android,161.8,445.7
166999842399,海南,HTC,神州行,Android,251.7,1218.1
166017301391,黑龙江,HTC,神州行,Android,210.6,223.1
166532645637,陕西,HTC,神州行,Android,78.1,1729.4
166925937129,天津,HTC,神州行,Android,294.2,1601.9
166099912592,天津,HTC,神州行,Android,47.6,41.9
166818419289,湖北,HTC,神州行,Android,189.4,854.6
166437497749,吉林,HTC,神州行,Android,211.9,1282
166818343813,青海,HTC,神州行,Android,216.1,394
166537631563,福建,HTC,神州行,Android,59.3,588.3
166695117096,四川,HTC,神州行,Android,102.7,1490.4
166024233430,北京,HTC,神州行,Android,256.6,1495.5
166433801768,西藏,HTC,神州行,Android,285,1826.4
166814436915,广东,HTC,神州行,Android,273.1,240
166686289722,海南,HTC,神州行,Android,126,955
166818537069,北京,HTC,神州行,Android,221.7,156.4
166818389260,山西,HTC,神州行,Android,285,491.2
166528723159,福建,HTC,神州行,Android,108.5,392
166099912883,福建,HTC,神州行,Android,90.1,880.8
166818446764,贵州,HTC,神州行,Android,222.8,1660.9
166925722256,湖南,HTC,神州行,Android,73,1845.3
166544790858,云南,HTC,神州行,Android,208.6,747.3
166537379276,重庆,HTC,神州行,Android,200,1202.6
166925853487,四川,HTC,神州行,Android,85.5,151.9
166537569862,福建,HTC,神州行,Android,112.3,1146.3
166431350348,澳门,HTC,神州行,Android,26.8,1538.2
166423329841,上海,HTC,神州行,Android,254.7,1903.7
166726016231,重庆,HTC,神州行,Android,251.4,1022.6
166717563773,内蒙古,HTC,神州行,Android,202.9,578.4
166902747165,河南,HTC,神州行,Android,199.7,12.8
166712158099,河北,HTC,神州行,Android,221.6,627
166024308466,福建,HTC,神州行,Android,238,1252.2
166669946942,香港,HTC,神州行,Android,108.6,477.7
166428631870,湖北,HTC,神州行,Android,192.7,888.2
166795008530,海南,HTC,神州行,Android,87.7,1591.7
166015315875,宁夏,HTC,神州行,Android,231.6,1259.8
166007797329,江苏,HTC,神州行,Android,262.5,1733.7
166532842063,上海,HTC,神州行,Android,169.3,638.7
166412956098,海南,HTC,神州行,Android,124.9,362.6
166818442021,青海,HTC,神州行,Android,178.5,659
166918513889,北京,HTC,神州行,Android,295,34
166416084369,香港,HTC,神州行,Android,27.7,14.4
166992862137,湖北,HTC,神州行,Android,90.7,1128.5
166712657646,河北,HTC,神州行,Android,56.9,1933.2
166118394946,吉林,HTC,神州行,Android,281.3,1438.9
166728344767,宁夏,HTC,神州行,Android,283.6,860.9
166650186596,甘肃,HTC,神州行,Android,231.5,792.9
166560994399,山东,HTC,神州行,Android,4.5,713.8
166433209647,广东,HTC,神州行,Android,209.4,606.2
166816970913,贵州,HTC,神州行,Android,290.3,652.7
166412948671,甘肃,HTC,神州行,Android,139.6,1189.8
166019151643,江苏,HTC,神州行,Android,61.6,1230.8
166412873823,湖北,HTC,神州行,Android,242.1,772.8
166017305910,河北,HTC,神州行,Android,39,938.2
166556838678,重庆,HTC,神州行,Android,297,1818.8
166612850479,北京,HTC,神州行,Android,24.5,556.7
166712633955,江苏,HTC,神州行,Android,214,987.8
166580905231,台湾,HTC,神州行,Android,131.7,339.9
166751531231,澳门,HTC,神州行,Android,152.1,1439.8
166695043967,浙江,HTC,神州行,Android,147.5,1832.7
166816971244,青海,HTC,神州行,Android,226.4,1396.7
166920780822,湖南,HTC,神州行,Android,251,1058.2
166620147904,四川,HTC,神州行,Android,175.5,860.8
166713558763,内蒙古,HTC,神州行,Android,214.6,885.9
166434726638,贵州,HTC,神州行,Android,7.3,1879.8
166556927028,香港,HTC,神州行,Android,150.7,1112
166712653911,黑龙江,HTC,神州行,Android,115.2,115
166652813571,上海,HTC,神州行,Android,58.1,1540
166015380277,上海,HTC,神州行,Android,15.3,1184.7
166818453954,辽宁,HTC,神州行,Android,108.3,857.5
166818391924,辽宁,HTC,神州行,Android,173.3,852.7
166538545907,黑龙江,HTC,神州行,Android,248.4,95.2
166532585257,山东,HTC,神州行,Android,14.9,1057.1
166416908925,重庆,HTC,神州行,Android,181.5,85.7
166728616932,江西,HTC,神州行,Android,158.9,690.9
166412625760,内蒙古,HTC,神州行,Android,102.2,545.7
166537495981,江苏,HTC,神州行,Android,151.8,1053.9
166428715321,吉林,HTC,神州行,Android,71.7,1523.2
166713010125,新疆,HTC,神州行,Android,291.7,1258
166728251631,江西,HTC,神州行,Android,251.2,52.1
166818349360,广东,HTC,神州行,Android,285.3,1202
166920838503,湖南,HTC,神州行,Android,55.4,1201
166434223343,香港,HTC,神州行,Android,131.2,1105.5
166509939561,西藏,HTC,神州行,Android,252.4,1902.5
166925699553,天津,HTC,神州行,Android,175,1494.6
166728571728,内蒙古,HTC,神州行,Android,46.1,818.6
166433182477,辽宁,HTC,神州行,Android,33.4,970.9
166818442887,浙江,HTC,神州行,Android,79.3,1941.8
166818342606,福建,HTC,神州行,Android,222.7,144.9
166695109623,福建,HTC,神州行,Android,239,626.6
166612835522,黑龙江,HTC,神州行,Android,100.9,454.2
166827432469,贵州,HTC,神州行,Android,200.4,124
166712316166,山西,HTC,神州行,Android,181.1,1879.5
166818540406,山东,HTC,神州行,Android,287.6,1379.6
166428540806,山西,HTC,神州行,Android,46.8,1602.3
166600428632,黑龙江,HTC,神州行,Android,141.5,676
166431277567,西藏,HTC,神州行,Android,128.5,1192.7
166412471945,上海,HTC,神州行,Android,278.8,1614.9
166809773394,陕西,HTC,神州行,Android,39.1,436.4
166549577921,江苏,HTC,神州行,Android,211.4,1622.2
166925921104,台湾,HTC,神州行,Android,111.3,52.3
166686213090,天津,HTC,神州行,Android,105.9,973.3
166816970790,青海,HTC,神州行,Android,98.6,1127.4
166712634715,宁夏,HTC,神州行,Android,109.7,329.2
166916963835,黑龙江,HTC,神州行,Android,233.2,960.7
166414391365,香港,HTC,神州行,Android,102.3,246.4
166929409236,澳门,HTC,神州行,Android,130.9,363.2
166670024113,香港,HTC,神州行,Android,82.7,1753.8
166925976055,黑龙江,HTC,神州行,Android,166.4,222.4
166899800304,香港,HTC,神州行,Android,266,344.1
166650638271,福建,HTC,神州行,Android,14.9,1984.2
166751630082,广西,HTC,神州行,Android,146.2,543.8
166712342128,广西,HTC,神州行,Android,240.9,941.7
166450211383,黑龙江,HTC,神州行,Android,93.3,275.9
166999999400,安徽,HTC,神州行,Android,21.9,1600
166816968493,重庆,HTC,神州行,Android,25.2,154.1
166913933775,青海,HTC,神州行,Android,189.8,1497.1
166017276629,重庆,HTC,神州行,Android,71.3,409.7
166118401574,贵州,HTC,神州行,Android,150.5,1865.1
166999873204,安徽,HTC,神州行,Android,51.3,1420.1
166669994855,安徽,HTC,神州行,Android,195.1,1612.3
166712695251,山东,HTC,神州行,Android,206.2,924.9
166790427603,青海,HTC,神州行,Android,23,111.2
166556827070,浙江,HTC,神州行,Android,114.6,1800.8
166929396212,吉林,HTC,神州行,Android,69.9,470
166431506265,河南,HTC,神州行,Android,204.7,228.8
166559858358,安徽,HTC,神州行,Android,190.5,1165
166015430659,河南,HTC,神州行,Android,8.5,1357.6
166537619568,海南,HTC,神州行,Android,11.7,1425.5
166642512046,福建,HTC,神州行,Android,233.6,266.3
166818431505,贵州,HTC,神州行,Android,29.5,1113.7
166423418137,辽宁,HTC,神州行,Android,40,72.7
166795088254,江西,HTC,神州行,Android,277.1,408.5
166713216097,浙江,HTC,神州行,Android,98.9,1310.8
166538545194,湖北,HTC,神州行,Android,63.5,664.7
166818517443,宁夏,HTC,神州行,Android,71.1,1407.1
166829420352,云南,HTC,神州行,Android,297.7,1269.5
166437598445,广东,HTC,神州行,Android,255.6,1024.1
166717549515,湖北,HTC,神州行,Android,152.9,169.4
166538554986,澳门,HTC,神州行,Android,130.3,1442.3
166622816554,重庆,HTC,神州行,Android,129.4,1002.3
166549606874,云南,HTC,神州行,Android,265.5,29.4
166713217543,陕西,HTC,神州行,Android,69,1337.7
166423322155,重庆,HTC,神州行,Android,63.5,261.1
166816970509,湖北,HTC,神州行,Android,104.5,866.8
166423631068,吉林,HTC,神州行,Android,262.8,406
166713413373,海南,HTC,神州行,Android,142.4,160.3
166799052863,江苏,HTC,神州行,Android,93,927.4
166876591964,辽宁,HTC,神州行,Android,294.2,1191.1
166712869957,江西,HTC,神州行,Android,89.8,1419.6
166549492944,陕西,HTC,神州行,Android,39.3,739.5
166428589129,澳门,HTC,神州行,Android,217.8,52.9
166538830986,宁夏,HTC,神州行,Android,103.6,261.9
166686339861,福建,HTC,神州行,Android,289.8,396.5
166412225910,西藏,HTC,神州行,Android,89.6,1687.7
166925724398,重庆,HTC,神州行,Android,121,42.3
166993070823,湖北,HTC,神州行,Android,31.3,59.9
166751623835,四川,HTC,神州行,Android,128,1813.5
166712882974,上海,HTC,神州行,Android,216.3,443.3
166118395036,广西,HTC,神州行,Android,42.6,1932.4
166017019897,新疆,HTC,神州行,Android,13.1,1561.6
166549586787,陕西,HTC,神州行,Android,80,1772.8
166818556677,内蒙古,HTC,神州行,Android,234.2,1710.9
